DIMENSIONES;RECURSO;NOMBRE DEL RECURSO/PROGRAMA;DESCRIPCIÓN DEL RECURSO;DIRECCIÓN;LOCALIDAD;CONTACTO;ZONA
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;LA CASITA DE LOS CHICOS GORINA;es un espacio de educación no formal y recreación para niños, niñas y adolescentes. Ofrece actividades culturales y educativas, promoviendo el aprendizaje, el juego y el afecto, con un enfoque en los derechos de la infancia. Además, funciona como un lugar de referencia para familias y otras instituciones en el barrio, especialmente para aquellos con bajos recursos o en situaciones de vulnerabilidad.;CALLE 482 N° 4051, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;LOS NIÑOS FELICES;"es un espacio o proyecto que se dedica a actividades recreativas y educativas no formales para niños, niñas y adolescentes. Se describe como un lugar donde se entrelazan la solidaridad y la transformación social. ""La Casita de los chicos"", como también se le conoce, busca ofrecer un entorno donde los jóvenes puedan aprender y divertirse a través de diversas actividades.";CALLE 138 e/ 481 y 482, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Visitación de la Virgen María;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 491  N° 4401, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;ESPERANZA DE LOS PIBES;Se trata de un espacio donde se brinda asistencia alimentaria a niños y adolescentes de la zona. El comedor es parte de una iniciativa más amplia de trabajo comunitario, donde vecinos y la comuna colaboran para ofrecer alimentos accesibles a la población local.;CALLE 216 e/ 483 y 484, Joaquín Gorina, La Plata, Buenos Aires;Joaquín Gorina;;ZONA NORTE
SALUD ADOLESCENTE;Espacios terapeúticos;CENTRO PEDAGOGICO INTEGRAL MAMA EMILIA;Es un Establecimiento de Salud E.S. de tipología: Bajo riesgo con internación simple. El origen de su financiamiento es Privado.;CALLE 411 y 153, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
SALUD ADOLESCENTE;Espacios terapeúticos;COMUNIDAD TERAPÉUTICA OTROS CAMINOS SON POSIBLES PARA LA REHABILITACIÓN DE LAS ADICCIONES;Es una Asocición Civil sin fines de lucro, cuyo objetivo es la prevención y la rehabilitación de adicciones. Cuenta  con un Centro de Internación con una capacidad de 24 personas. Posee un equipo interdisiplinario cpmpuesto por medicos, psicólogos, psiquiatra, operadores socioterapeutas y asistente social. Nuestro objetivo es que cualquier persona que necesite realizar un tratamiento de rehabilitación, tenga la posibilidad de realizarlo sin ningún tipo de limitación (social, económica, étnica, religiosa, etc.).;CALLE 537 N° 3550, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 11;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 143 y 414 BIS, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 ""REPUBLICA ARGENTINA""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 409 N° 4689, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº60;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA NACIONAL 6 y RUTA 53, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº72;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA 2 - KM 44,500, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA MUNICIPAL LAS ALGARROBAS;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 411 e/ 151 y 152, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO SAGRADO CORAZÓN DE MARÍA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 143 e/ 413 y 415, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro Educativo De Nivel Secundario (C.E.N.S.);CENTRO EDUCATIVO DE NIVEL SECUNDARIO Nº459;Son instituciones destinadas a garantizar la educación, primaria y secundaria de jóvenes, adultos, y adultos mayores, que por diversos motivos no han finalizado los estudios de educación obligatoria. Tiene una duración de tres años;DIAG. 144 y 409, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centros Socioeducativos Comunitarios;CUIDADORES DE LA CASA COMÚN;Orientados a la revinculación de los alumnos y al fortalecimiento de las trayectorias educativas de jóvenes de barrios populares en situación de vulnerabilidad, brindando apoyo escolar, social y participación comunitaria. Se realizan eventos culturales, talleres, actividades como cine, etc. Muchos de estos también realizan actividades en búsqueda de lograr incorporación al mundo del trabajo digno.;CALLE 409 y 147 S/N, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;ASOCIACIÓN MUTUAL TALLERES;Desarrollan talleres de Fútbol con valores, danzas, Catequesis y Apoyo Escolar. Poseen además un jardín comunitario.  También llevan adelante jornadas de Salud Visual y de controles pediátricos y vacunación. Funciona un CAAC en el predio la asociación  para trabajar los aspectos relacionados con la temática del consumo problemático de sustancias. Lleva adelante rticulación y dialogo con organizaciones y actores sociales en relación a actividades tendientes a promoción y protección de derechos de NNYA: ;CALLE 431 y 206, Arturo Seguí , La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;CUIDADORES DE LA CASA COMUN;busca generar oportunidades de trabajo para jóvenes mediante una formación integral en relación al cuidado del ambiente;CALLE 409 N° 4000, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;JUNTOS POR LOS NIÑOS DE ARTURO SEGUÍ;brinda alimento a 135 niños. Además de la función de comedor, la iniciativa también se dedica a otras actividades, como un almacén de productos elaborados de forma artesanal y la organización de jornadas de cuidado y actividades para la comunidad.;CALLE 143 N° 1300, Arturo Seguí, La Plata, BUenos Aires;Arturo Seguí;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;COMEDOR PAN DE VIDA UTT;es una iniciativa de la Unión de Trabajadores de la Tierra (UTT), que busca garantizar el acceso a alimentos agroecológicos y de calidad para personas en situación de vulnerabilidad. La UTT, a través de este comedor, promueve una alimentación soberana, priorizando productos libres de agroquímicos y producidos de manera sostenible.;CALLE 420 N° 4236, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;La Casita de El Rincón,-Espacio Comunitario;institución donde se realizan actividades culturales y deportivas diversas;CALLE 441 y 141, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Clubes;Club El Rincón;institución donde se realizan actividades culturales y deportivas diversas;CALLE 134 Nº 3300, Arturo Seguí, La Plata, Buenos Aires;Arturo Seguí;;ZONA NORTE
SALUD ADOLESCENTE;Hospitales con Servicio de Salud Mental Adolescente;CLINICA NEUROPSIQUIATRICA SAN PATRICIO S.A;Hogar Permanente de Discapacidad San Patricio para chicos y chicas;CALLE 446 N° 3290, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 5;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 12 y 19, City Bell, La Plata, Buenos Airea;City Bell;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 17;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 27 y 449, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
SALUD ADOLESCENTE;Centros de Atención Primaria;CENTRO DE SALUD Nº 38;Son establecimientos de salud que brindan servicios de atención médica básica y preventiva a la comunidad, siendo el primer punto de contacto con el sistema de salud. Su objetivo principal es garantizar el acceso equitativo a la atención médica esencial y promover la salud de la población.;CALLE 7 y 477, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
SALUD ADOLESCENTE;CPA;CENTRO COMUNITARIO;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CAMINO GRAL. BELGRANO ESQ. 447, City Bell, La Plata, Buenos Aires ;City Bell;;ZONA NORTE
SALUD ADOLESCENTE;CPA;UNIDAD RESIDENCIAL ABORDAJE CONSUMOS PROBLEMÁTICOS;Son dispositivos públicos de salud, de atención y cuidado, con base territorial y comunitaria, en los que se brindan prestaciones de tipo ambulatoria. Tienen el propósito de prevenir, detectar, diagnosticar problemáticas vinculadas a salud mental, y promover y desarrollar procesos de atención ante padecimientos en salud mental, situaciones de consumos problemáticos y de violencia que se presentan en el ámbito de la salud pública.;CAMINO GRAL. BELGRANO ESQ. 447, City Bell, La Plata, Buenos Aires ;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº8 ""PEDRO BENOIT""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 48 N° 723, City Bell, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;"ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 ""LUIS F. LELOIR""";Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 464 ESQ. 19, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº42;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 452 y 26, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº47;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 28 N° 434, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº57;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 144 y /454, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACION SECUNDARIA Nº63;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;CALLE 461 B e/ 14 C y 15, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ESCUELA DE EDUCACIÓN SECUNDARIA Nº76;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;RUTA 36 KM 54, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº4;Son instituciones de enseñanza de gestión estatal destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tiene una duración de 6 años, y ofrece diferentes orientaciones;7 BIS e/ 474 y 475, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;PADRE JOSÉ DARDI;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 21 e/ RIVADAVIA y ALVEAR, City Bell, La Plata,. Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;INSTITUTO MANUEL BELGRANO;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 466 e/21 y CAMINO GRAL. BELGRANO, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;INSTITUTO FRAY MAMERTO ESQUIU;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 474 y 14B, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;INSTITUTO JOSÉ MANUEL ESTRADA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;DIAG. 3 e/ 473 y 473 BIS, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO PATRIS;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 146 e/ 446 y ARROYO CARNAVAL, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;COLEGIO CLUB ESTUDIANTES DE LA PLATA;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;CALLE 28 BIS N° 1000 y ALVEAR, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Escuelas Secundarias;III MILENIO;Son instituciones de enseñanza de gestión privada destinadas a garantizar la obligatoriedad de la escuela secundaria, establecida por Ley nacional a partir de la sanción de la ley 26.206 Tienen una duración de 6 años y ofrecen diferentes orientaciones.;DIAG. 92 y 471, City Bell, La Plata, Buenos Aires ;City Bell;;ZONA NORTE
INCLUSIÓN EDUCATIVA Y FORMACIÓN LABORAL;Centro de Formacion Profesional;CENTRO DE FORMACIÓN PROFESIONAL Nº417;Son unidades educativas que tienen como objeto la formación en saberes y competencias de nivel técnico, adecuadas a las demandas socioproductivas y científicas;CALLE 461 C e/ 14 C y 15, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
SEGURIDAD;Comisarías;COMISARÍA LA PLATA 10°;Son organismos cuya responsabilidad fundamental es la de investigar delitos, preservar el orden público y proteger los derechos de los ciudadanos. Realizan acciones de prevención y llevan a cabo investigaciones dentro de su área.;CALLE 14 C N° 450, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Fortalecimiento comunitario para la inclusión de NNyA;COOPERATIVA DE TRABAJO LA HORMIGUERA LIMITADA;Es una asociación civil que trabaja con chicos y chicas especilamente en temas de apoyo escolar semanales. También hacen talleres y actividades recreativas, deportivas y culturales.;CALLE 466 y CAMINO GRAL. BELGRANO, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;AAF CASA DEL NIÑO ENCUENTRO;es una entidad privada, sin fines de lucro, que forma parte de la Federación Argentina de Apoyo Familiar (FAAF). Se dedica a apoyar y acompañar a familias en situación de vulnerabilidad, brindando un espacio de contención, educación y desarrollo para niños. La organización trabaja con niños desde los 45 días hasta los 11 años, proporcionándoles los elementos básicos para su desarrollo físico, emocional e intelectual, así como apoyo a las familias en el proceso de crianza.;CALLE 471 N° 853, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Otro;ASOCIACIÓN CIVIL COMPARTIENDO UN SUEÑO;es una Asociación Civil sin fines de lucro (personería jurídica 27.460) que trabaja desde hace más de siete años en la localidad de City Bell, intentando cubrir necesidades alimentarias, educativas y de contención. Allí 50 chicos (desde bebés hasta adolescentes) asisten con sus familias a una merienda y a una cena de lunes a viernes. Estos días también compartimos charlas, juegos, talleres, clases de apoyo, utilizamos una pequeña biblioteca, y esperamos sumar muchas más actividades que permitan un desarrollo pleno de los chicos.;CALLE 473 BIS - EX 15 N° 3121, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Inmaculado Corazón de María;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 471 N° 387 e/ 14 y DIAG. JORGE BELL, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Sagrado Corazón de Jesús;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CALLE 21 y 464, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Santa Teresita;realizan actividades de servicios religiosos, estudios bíblicos, grupos de oración, actividades para niños y jóvenes, eventos sociales, y labores de servicio comunitario;CAMINO GRAL. BELGRANO y 426, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;Iglesia de Jesucristo de los Santos de los últimos días;Organización religiosa cristiana que trabaja en el fortalecimiento espiritual de sus miembros a través de reuniones, clases y diferentes actividades comunitarias.;CAMINO GRAL. BELGRANO N° 970, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
PROGRAMAS DE PROMOCIÓN Y CUIDADO;Iglesias;IGLESIA PUEBLO DE DIOS;Con fuerte influencia del evangelio traído desde Suecia, realizan trabajos de fortalecimiento comunitario;CALLE 152 N 2599, City Bell, La Plata, Buenos Aires;City Bell;;ZONA NORTE
